t	J
0	2.26E-07
5	2.42E-07
10	2.59E-07
15	2.78E-07
20	2.98E-07
25	3.19E-07
30	3.41E-07
35	3.65E-07
40	3.90E-07
45	4.17E-07
50	4.46E-07
55	4.77E-07
60	5.09E-07
65	5.44E-07
70	5.81E-07
75	6.20E-07
80	6.62E-07
85	7.07E-07
90	7.54E-07
95	8.04E-07
100	8.57E-07
105	9.13E-07
110	9.73E-07
115	1.04E-06
120	1.10E-06
125	1.18E-06
130	1.25E-06
135	1.33E-06
140	1.42E-06
145	1.51E-06
150	1.60E-06
155	1.70E-06
160	1.81E-06
165	1.92E-06
170	2.04E-06
175	2.17E-06
180	2.30E-06
185	2.44E-06
190	2.59E-06
195	2.74E-06
200	2.91E-06
205	3.08E-06
210	3.27E-06
215	3.46E-06
220	3.67E-06
225	3.88E-06
230	4.11E-06
235	4.35E-06
240	4.60E-06
245	4.86E-06
250	5.14E-06
255	5.43E-06
260	5.74E-06
265	6.07E-06
270	6.41E-06
275	6.76E-06
280	7.14E-06
285	7.53E-06
290	7.95E-06
295	8.38E-06
300	8.84E-06
305	9.31E-06
310	9.81E-06
315	1.03E-05
320	1.09E-05
325	1.15E-05
330	1.21E-05
335	1.27E-05
340	1.34E-05
345	1.41E-05
350	1.48E-05
355	1.55E-05
360	1.63E-05
365	1.71E-05
370	1.80E-05
375	1.89E-05
380	1.98E-05
385	2.08E-05
390	2.18E-05
395	2.29E-05
400	2.40E-05
405	2.52E-05
410	2.64E-05
415	2.76E-05
420	2.89E-05
425	3.03E-05
430	3.17E-05
435	3.32E-05
440	3.47E-05
445	3.63E-05
450	3.80E-05
455	3.97E-05
460	4.15E-05
465	4.34E-05
470	4.53E-05
475	4.73E-05
480	4.93E-05
485	5.15E-05
490	5.37E-05
495	5.60E-05
500	5.84E-05
505	6.09E-05
510	6.35E-05
515	6.61E-05
520	6.89E-05
525	7.17E-05
530	7.46E-05
535	7.77E-05
540	8.08E-05
545	8.41E-05
550	8.74E-05
555	9.09E-05
560	9.44E-05
565	9.81E-05
570	0.000101891
575	0.000105799
580	0.000109826
585	0.000113976
590	0.000118249
595	0.000122648
600	0.000127175
605	0.000131833
610	0.000136624
615	0.00014155
620	0.000146612
625	0.000151813
630	0.000157155
635	0.00016264
640	0.00016827
645	0.000174046
650	0.00017997
655	0.000186044
660	0.00019227
665	0.000198649
670	0.000205183
675	0.000211872
680	0.000218719
685	0.000225725
690	0.00023289
695	0.000240216
700	0.000247704
705	0.000255354
710	0.000263167
715	0.000271144
720	0.000279285
725	0.000287591
730	0.000296062
735	0.000304697
740	0.000313497
745	0.000322462
750	0.00033159
755	0.000340883
760	0.000350339
765	0.000359957
770	0.000369736
775	0.000379676
780	0.000389774
785	0.00040003
790	0.000410442
795	0.000421008
800	0.000431725
805	0.000442593
810	0.000453608
815	0.000464769
820	0.000476071
825	0.000487513
830	0.000499092
835	0.000510803
840	0.000522644
845	0.000534611
850	0.0005467
855	0.000558908
860	0.000571229
865	0.000583659
870	0.000596195
875	0.00060883
880	0.000621561
885	0.000634382
890	0.000647287
895	0.000660271
900	0.000673329
905	0.000686454
910	0.000699641
915	0.000712883
920	0.000726174
925	0.000739507
930	0.000752876
935	0.000766274
940	0.000779693
945	0.000793128
950	0.000806569
955	0.000820011
960	0.000833445
965	0.000846864
970	0.000860259
975	0.000873625
980	0.000886951
985	0.00090023
990	0.000913455
995	0.000926616
1000	0.000939706
1005	0.000952716
1010	0.000965639
1015	0.000978464
1020	0.000991184
1025	0.001003791
1030	0.001016276
1035	0.001028631
1040	0.001040846
1045	0.001052915
1050	0.001064827
1055	0.001076575
1060	0.00108815
1065	0.001099544
1070	0.001110749
1075	0.001121756
1080	0.001132558
1085	0.001143146
1090	0.001153513
1095	0.001163651
1100	0.001173551
1105	0.001183207
1110	0.001192611
1115	0.001201757
1120	0.001210635
1125	0.001219241
1130	0.001227567
1135	0.001235607
1140	0.001243353
1145	0.001250801
